record_id_document,document_symbol_found,lang_field,doc_url,date_document
811223.0,A/70/PV.13,English,https://digitallibrary.un.org/record/811223/files/A_70_PV.13-EN.pdf,2015-09-28
679248.0,A/64/PV.76,English,https://digitallibrary.un.org/record/679248/files/A_64_PV.76-EN.pdf,2010-03-23
677312.0,S/PV.6277,English,https://digitallibrary.un.org/record/677312/files/S_PV.6277-EN.pdf,2010-02-24
676696.0,S/PV.6270,English,https://digitallibrary.un.org/record/676696/files/S_PV-6270-EN.pdf,2010-02-12
675525.0,A/64/PV.69,English,https://digitallibrary.un.org/record/675525/files/A_64_PV.69-EN.pdf,2010-01-22
675075.0,S/PV.6257,English,https://digitallibrary.un.org/record/675075/files/S_PV.6257-EN.pdf,2010-01-13
674371.0,S/PV.6255,English,https://digitallibrary.un.org/record/674371/files/S_PV.6255-EN.pdf,2010-01-06
673769.0,S/PV.6251,English,https://digitallibrary.un.org/record/673769/files/S_PV.6251-EN.pdf,2009-12-21
673024.0,S/PV.6233,English,https://digitallibrary.un.org/record/673024/files/S_PV.6233-EN.pdf,2009-12-08
671242.0,S/PV.6216,English,https://digitallibrary.un.org/record/671242/files/S_PV.6216-EN.pdf,2009-11-11
1492379.0,A/C.5/64/SR.10,English,http://digitallibrary.un.org/record/1492379/files/A_C-5_64_SR-10-EN.pdf,2009-10-29
667384.0,A/64/PV.17,English,https://digitallibrary.un.org/record/667384/files/A_64_PV.17-EN.pdf,2009-10-12
666248.0,S/PV.6195,English,https://digitallibrary.un.org/record/666248/files/S_PV.6195-EN.pdf,2009-09-30
665528.0,S/PV.6191,English,https://digitallibrary.un.org/record/665528/files/S_PV.6191-EN.pdf,2009-09-24
665846.0,A/64/PV.3,English,https://digitallibrary.un.org/record/665846/files/A_64_PV.3-EN.pdf,2009-09-23
662268.0,S/PV.6180,English,https://digitallibrary.un.org/record/662268/files/S_PV.6180-EN.pdf,2009-08-07
660930.0,S/PV.6165,English,https://digitallibrary.un.org/record/660930/files/S_PV.6165-EN.pdf,2009-07-22
665811.0,A/63/PV.96,English,https://digitallibrary.un.org/record/665811/files/A_63_PV.96-EN.pdf,2009-07-21
659985.0,S/PV.6161,English,https://digitallibrary.un.org/record/659985/files/S_PV.6161-EN.pdf,2009-07-13
683860.0,E/2009/SR.8,English,https://digitallibrary.un.org/record/683860/files/E_2009_SR.8-EN.pdf,2009-07-06
665669.0,A/63/PV.88,English,https://digitallibrary.un.org/record/665669/files/A_63_PV.88-EN.pdf,2009-06-16
665664.0,A/63/PV.86,English,https://digitallibrary.un.org/record/665664/files/A_63_PV.86-EN.pdf,2009-06-10
654056.0,S/PV.6123,English,https://digitallibrary.un.org/record/654056/files/S_PV.6123-EN.pdf,2009-05-11
653172.0,S/PV.6114,English,https://digitallibrary.un.org/record/653172/files/S_PV-6114-EN.pdf,2009-04-29
661591.0,E/2009/SR.5,English,https://digitallibrary.un.org/record/661591/files/E_2009_SR.5-EN.pdf,2009-04-27
650073.0,S/PV.6092,English,https://digitallibrary.un.org/record/650073/files/S_PV.6092-EN.pdf,2009-10-18
648397.0,S/PV.6085,English,https://digitallibrary.un.org/record/648397/files/S_PV.6085-EN.pdf,2009-02-19
646544.0,S/PV.6072,English,https://digitallibrary.un.org/record/646544/files/S_PV.6072-EN.pdf,2009-01-21
645727.0,S/PV.6063,English,https://digitallibrary.un.org/record/645727/files/S_PV.6063-EN.pdf,2009-01-08
645524.0,S/PV.6061,English,https://digitallibrary.un.org/record/645524/files/S_PV.6061-EN.pdf,2009-01-06
