record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,lang_field,doc_url,date_document,text_based,speech_index,multiple_matches,tokens,types,sentences,file_name
396783,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/53/PV.34,1998-10-09,7,1998,10,9,A,,53.0,PV.34,,English,https://digitallibrary.un.org/record/261503/files/A_53_PV.34-EN.pdf,1998-10-09,True,0,False,959,378,31,A_1998_53_PV.34_speech.txt
396966,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/C.1/53/PV.3,1998-10-12,7,1998,10,12,A,C.1,53.0,PV.3,,English,https://digitallibrary.un.org/record/265314/files/A_C.1_53_PV.3-EN.pdf,1998-10-12,True,0,False,1289,487,56,A_1998_C.1_53_PV.3_speech.txt
398306,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/53/PV.86,1998-12-10,7,1998,12,10,A,,53.0,PV.86,,English,https://digitallibrary.un.org/record/265555/files/A_53_PV.86-EN.pdf,1998-12-10,True,0,False,617,234,20,A_1998_53_PV.86_speech.txt
401981,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-21/PV.1,1999-06-30,7,1999,6,30,A,S-21,,PV.1,,English,https://digitallibrary.un.org/record/276424/files/A_S-21_PV.1-EN.pdf,1999-06-30,True,0,False,1508,530,75,A_1999_S-21_PV.1_speech.txt
402900,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/53/PV.105,1999-07-28,7,1999,7,28,A,,53.0,PV.105,,English,https://digitallibrary.un.org/record/285624/files/A_53_PV.105-EN.pdf,1999-07-28,True,0,False,295,166,10,A_1999_53_PV.105_speech.txt
403253,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/54/PV.4,1999-09-20,7,1999,9,20,A,,54.0,PV.4,,English,https://digitallibrary.un.org/record/285833/files/A_54_PV.4-EN.pdf,1999-09-20,True,0,False,2580,755,85,A_1999_54_PV.4_speech.txt
410427,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/54/PV.74,1999-12-08,7,1999,12,8,A,,54.0,PV.74,,English,https://digitallibrary.un.org/record/403914/files/A_54_PV.74-EN.pdf,1999-12-08,True,0,False,1732,595,68,A_1999_54_PV.74_speech.txt
426737,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-23/PV.1,2000-06-05,7,2000,6,5,A,S-23,,PV.1,,English,https://digitallibrary.un.org/record/415505/files/A_S-23_PV-1-EN.pdf,2000-06-05,True,0,False,1297,495,60,A_2000_S-23_PV.1_speech.txt
426121,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-24/PV.1,2000-06-26,7,2000,6,26,A,S-24,,PV.1,,English,https://digitallibrary.un.org/record/417115/files/A_S-24_PV.1-EN.pdf,2000-06-26,True,0,False,1349,511,52,A_2000_S-24_PV.1_speech.txt
426372,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/55/PV.3,2000-09-06,7,2000,9,6,A,,55.0,PV.3,,English,https://digitallibrary.un.org/record/421789/files/A_55_PV.3-EN.pdf,2000-09-06,True,0,True,240,133,11,A_2000_55_PV.3_speech_1.txt
