record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document,text_based,two_column_layout,left_column_french,starting_page
329480,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/43/PV.56,1988-11-18,5,1988,11,18,A,,43.0,PV.56,,A_1988_43_PV.56_,A_1988_43_PV.56_speeches.pdf,53765.0,A/43/PV.56,English,https://digitallibrary.un.org/record/53765/files/A_43_PV.56-EN.pdf,1988-11-18,False,False,,2
331342,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/43/PV.74,1988-12-08,5,1988,12,8,A,,43.0,PV.74,,A_1988_43_PV.74_,A_1988_43_PV.74_speeches.pdf,54977.0,A/43/PV.74,English,https://digitallibrary.un.org/record/54977/files/A_43_PV.74-EN.pdf,1988-12-08,False,False,,2
332255,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/43/PV.86,1989-02-14,5,1989,2,14,A,,43.0,PV.86,,A_1989_43_PV.86_,A_1989_43_PV.86_speeches.pdf,57490.0,A/43/PV.86,English,https://digitallibrary.un.org/record/57490/files/A_43_PV-86-EN.pdf,1989-02-14,False,False,,2
333282,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.3,1989-09-22,5,1989,9,22,A,,44.0,PV.3,,A_1989_44_PV.3_,A_1989_44_PV.3_speeches.pdf,75042.0,A/44/PV.3,English,https://digitallibrary.un.org/record/75042/files/A_44_PV.3-EN.pdf,1989-09-22,False,False,,2
333758,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/C.1/44/PV.15,1989-10-25,5,1989,10,25,A,C.1,44.0,PV.15,,A_1989_C.1_44_PV.15_,A_1989_C.1_44_PV.15_speeches.pdf,78653.0,A/C.1/44/PV.15,English,https://digitallibrary.un.org/record/78653/files/A_C.1_44_PV.15-EN.pdf,1989-10-25,False,False,,2
333974,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.41,1989-10-26,5,1989,10,26,A,,44.0,PV.41,,A_1989_44_PV.41_,A_1989_44_PV.41_speeches.pdf,80261.0,A/44/PV.41,English,https://digitallibrary.un.org/record/80261/files/A_44_PV.41-EN.pdf,1989-10-26,False,False,,2
334257,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.43,1989-11-01,5,1989,11,1,A,,44.0,PV.43,,A_1989_44_PV.43_,A_1989_44_PV.43_speeches.pdf,80263.0,A/44/PV.43,English,https://digitallibrary.un.org/record/80263/files/A_44_PV.43-EN.pdf,1989-11-01,False,False,,2
334500,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.54,1989-11-14,5,1989,11,14,A,,44.0,PV.54,,A_1989_44_PV.54_,A_1989_44_PV.54_speeches.pdf,80613.0,A/44/PV.54,English,https://digitallibrary.un.org/record/80613/files/A_44_PV.54-EN.pdf,1989-11-14,False,False,,2
335285,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.61,1989-11-20,5,1989,11,20,A,,44.0,PV.61,,A_1989_44_PV.61_,A_1989_44_PV.61_speeches.pdf,81454.0,A/44/PV.61,English,https://digitallibrary.un.org/record/81454/files/A_44_PV.61-EN.pdf,1989-11-20,False,False,,2
336874,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.63,1989-11-22,5,1989,11,22,A,,44.0,PV.63,,A_1989_44_PV.63_,A_1989_44_PV.63_speeches.pdf,81793.0,A/44/PV.63,English,https://digitallibrary.un.org/record/81793/files/A_44_PV.63-EN.pdf,1989-11-22,False,False,,2
336581,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.64,1989-11-27,5,1989,11,27,A,,44.0,PV.64,,A_1989_44_PV.64_,A_1989_44_PV.64_speeches.pdf,81783.0,A/44/PV.64,English,https://digitallibrary.un.org/record/81783/files/A_44_PV.64-EN.pdf,1989-11-27,False,False,,2
336922,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/44/PV.65,1989-11-28,5,1989,11,28,A,,44.0,PV.65,,A_1989_44_PV.65_,A_1989_44_PV.65_speeches.pdf,81840.0,A/44/PV.65,English,https://digitallibrary.un.org/record/81840/files/A_44_PV.65-EN.pdf,1989-11-28,False,False,,2
