record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document
4034299,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9452,2023-10-25,9,2023,10,25,S,,,PV.9452,,S_2023_PV.9452_,S_2023_PV.9452_speeches.pdf,4026402.0,S/PV.9452,English,https://digitallibrary.un.org/record/4026402/files/S_PV.9452-EN.pdf,2023-10-25
4034004,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9451,2023-10-24,9,2023,10,24,S,,,PV.9451,,S_2023_PV.9451_,S_2023_PV.9451_speeches.pdf,4025983.0,S/PV.9451,English,https://digitallibrary.un.org/record/4025983/files/S_PV.9451-EN.pdf,2023-10-24
4043998,"Guterres, António, 1949-",UN. Secretary-General,A/C.5/78/SR.5,2023-10-10,9,2023,10,10,A,C.5,78.0,SR.5,,A_2023_C.5_78_SR.5_,A_2023_C.5_78_SR.5_speeches.pdf,4037840.0,A/C.5/78/SR.5,English,https://digitallibrary.un.org/record/4037840/files/A_C.5_78_SR.5-EN.pdf,2023-10-10
4032054,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9421,2023-09-20,9,2023,9,20,S,,,PV.9421,,S_2023_PV.9421_,S_2023_PV.9421_speeches.pdf,4021971.0,S/PV.9421,English,https://digitallibrary.un.org/record/4021971/files/S_PV.9421-EN.pdf,2023-09-20
4040539,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.4,2023-09-19,9,2023,9,19,A,,78.0,PV.4,,A_2023_78_PV.4_,A_2023_78_PV.4_speeches.pdf,4025351.0,A/78/PV.4,English,https://digitallibrary.un.org/record/4025351/files/A_78_PV.4-EN.pdf,2023-09-19
4017759,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9381,2023-07-18,9,2023,7,18,S,,,PV.9381,,S_2023_PV.9381_,S_2023_PV.9381_speeches.pdf,4016424.0,S/PV.9381,English,https://digitallibrary.un.org/record/4016424/files/S_PV.9381-EN.pdf,2023-07-18
4038580,"Guterres, António, 1949-",UN. Secretary-General,E/2023/SR.36,2023-07-17,9,2023,7,17,E,,2023.0,SR.36,,E_2023_2023_SR.36_,E_2023_2023_SR.36_speeches.pdf,4026086.0,E/2023/SR.36,English,https://digitallibrary.un.org/record/4026086/files/E_2023_SR.36-EN.pdf,2023-07-17
4037679,"Guterres, António, 1949-",UN. Secretary-General,E/2023/SR.30,2023-06-21,9,2023,6,21,E,,2023.0,SR.30,,E_2023_2023_SR.30_,E_2023_2023_SR.30_speeches.pdf,4025987.0,E/2023/SR.30,English,https://digitallibrary.un.org/record/4025987/files/E_2023_SR.30-EN.pdf,2023-06-21
4016060,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9346,2023-06-14,9,2023,6,14,S,,,PV.9346,,S_2023_PV.9346_,S_2023_PV.9346_speeches.pdf,4013427.0,S/PV.9346,English,https://digitallibrary.un.org/record/4013427/files/S_PV.9346-EN.pdf,2023-06-14
4032872,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.74,2023-06-01,9,2023,6,1,A,,77.0,PV.74,,A_2023_77_PV.74_,A_2023_77_PV.74_speeches.pdf,4022905.0,A/77/PV.74,English,https://digitallibrary.un.org/record/4022905/files/A_77_PV.74-EN.pdf,2023-06-01
