record_id,speech_code,lang_field,doc_url,date
4026718,S/PV.9452 (Resumption 2),English,https://digitallibrary.un.org/record/4026718/files/S_PV.9452_%28Resumption_2%29-EN.pdf,2023-10-26
4026602,S/PV.9452 (Resumption 1),English,https://digitallibrary.un.org/record/4026602/files/S_PV.9452_%28Resumption_1%29-EN.pdf,2023-10-25
4026402,S/PV.9452,English,https://digitallibrary.un.org/record/4026402/files/S_PV.9452-EN.pdf,2023-10-25
4026090,S/PV.9451 (Resumption 1),English,https://digitallibrary.un.org/record/4026090/files/S_PV.9451_%28Resumption_1%29-EN.pdf,2023-10-24
4025983,S/PV.9451,English,https://digitallibrary.un.org/record/4025983/files/S_PV.9451-EN.pdf,2023-10-24
4037840,A/C.5/78/SR.5,English,https://digitallibrary.un.org/record/4037840/files/A_C.5_78_SR.5-EN.pdf,2023-10-10
4022308,S/PV.9421 (Resumption 2),English,https://digitallibrary.un.org/record/4022308/files/S_PV.9421_%28Resumption_2%29-EN.pdf,2023-09-21
4022238,S/PV.9421 (Resumption 1),English,https://digitallibrary.un.org/record/4022238/files/S_PV.9421_%28Resumption_1%29-EN.pdf,2023-09-20
4021971,S/PV.9421,English,https://digitallibrary.un.org/record/4021971/files/S_PV.9421-EN.pdf,2023-09-20
4025351,A/78/PV.4,English,https://digitallibrary.un.org/record/4025351/files/A_78_PV.4-EN.pdf,2023-09-19
4016424,S/PV.9381,English,https://digitallibrary.un.org/record/4016424/files/S_PV.9381-EN.pdf,2023-07-18
4026086,E/2023/SR.36,English,https://digitallibrary.un.org/record/4026086/files/E_2023_SR.36-EN.pdf,2023-07-17
4025987,E/2023/SR.30,English,https://digitallibrary.un.org/record/4025987/files/E_2023_SR.30-EN.pdf,2023-06-21
4013427,S/PV.9346,English,https://digitallibrary.un.org/record/4013427/files/S_PV.9346-EN.pdf,2023-06-14
4023711,E/2023/SR.19,English,https://digitallibrary.un.org/record/4023711/files/E_2023_SR.19-EN.pdf,2023-05-23
4012121,S/PV.9327 (Resumption 1),English,https://digitallibrary.un.org/record/4012121/files/S_PV.9327_%28Resumption_1%29-EN.pdf,2023-05-23
4012120,S/PV.9327,English,https://digitallibrary.un.org/record/4012120/files/S_PV.9327-EN.pdf,2023-05-23
4010178,S/PV.9310,English,https://digitallibrary.un.org/record/4010178/files/S_PV.9310-EN.pdf,2023-04-25
4009876,S/PV.9308 (Resumption 1),English,https://digitallibrary.un.org/record/4009876/files/S_PV.9308_%28Resumption_1%29-EN.pdf,2023-04-24
4009868,S/PV.9308,English,https://digitallibrary.un.org/record/4009868/files/S_PV.9308-EN.pdf,2023-04-24
4013262,A/77/PV.64,English,https://digitallibrary.un.org/record/4013262/files/A_77_PV.64-EN.pdf,2023-03-29
4008015,S/PV.9296,English,https://digitallibrary.un.org/record/4008015/files/S_PV.9296-EN.pdf,2023-03-28
4020708,A/77/PV.63,English,https://digitallibrary.un.org/record/4020708/files/A_77_PV.63-EN.pdf,2023-03-27
4020531,A/77/PV.62,English,https://digitallibrary.un.org/record/4020531/files/A_77_PV.62-EN.pdf,2023-03-21
4004741,S/PV.9269,English,https://digitallibrary.un.org/record/4004741/files/S_PV.9269-EN.pdf,2023-02-24
4008525,A/ES-11/PV.17,English,https://digitallibrary.un.org/record/4008525/files/A_ES-11_PV.17-EN.pdf,2023-02-22
4003790,S/PV.9260 (Resumption 1),English,https://digitallibrary.un.org/record/4003790/files/S_PV.9260_%28Resumption_1%29-EN.pdf,2023-02-14
4003737,S/PV.9260,English,https://digitallibrary.un.org/record/4003737/files/S_PV.9260-EN.pdf,2023-02-14
4013907,A/77/PV.58 (Resumption 1),English,https://digitallibrary.un.org/record/4013907/files/A_77_PV.58_%28Resumption_1%29-EN.pdf,2023-02-06
4013165,A/77/PV.58,English,https://digitallibrary.un.org/record/4013165/files/A_77_PV.58-EN.pdf,2023-02-06
4000418,S/PV.9241 (Resumption 1),English,https://digitallibrary.un.org/record/4000418/files/S_PV.9241_%28Resumption_1%29-EN.pdf,2023-01-12
4000343,S/PV.9241,English,https://digitallibrary.un.org/record/4000343/files/S_PV.9241-EN.pdf,2023-01-12
3998338,S/PV.9220 (Resumption 1),English,https://digitallibrary.un.org/record/3998338/files/S_PV.9220_%28Resumption_1%29-EN.pdf,2022-12-14
3998258,S/PV.9220,English,https://digitallibrary.un.org/record/3998258/files/S_PV.9220-EN.pdf,2022-12-14
4010076,A/77/PV.48,English,https://digitallibrary.un.org/record/4010076/files/A_77_PV.48-EN.pdf,2022-12-08
3994113,S/PV.9181 (Resumption 1),English,https://digitallibrary.un.org/record/3994113/files/S_PV.9181_%28Resumption_1%29-EN.pdf,2022-11-03
