record_id,speaker,speaker_organization,document_symbol,document_symbol_searchable,date,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf
4015288,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.64,A77PV64,2023-03-29,2023,3,29,A,,77,PV.64,,A_2023_77_PV.64_,A_2023_77_PV.64_speeches.pdf
4008220,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9296,SPV9296,2023-03-28,2023,3,28,S,,,PV.9296,,S_2023_PV.9296_,S_2023_PV.9296_speeches.pdf
4029241,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.63,A/77/PV.63,2023-03-27,2023,3,27,A,,77,PV.63,,A_2023_77_PV.63_,A_2023_77_PV.63_speeches.pdf
4029199,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.62,A/77/PV.62,2023-03-21,2023,3,21,A,,77,PV.62,,A_2023_77_PV.62_,A_2023_77_PV.62_speeches.pdf
4005715,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9269,SPV9269,2023-02-24,2023,2,24,S,,,PV.9269,,S_2023_PV.9269_,S_2023_PV.9269_speeches.pdf
4008554,"Guterres, António, 1949-",UN. Secretary-General,A/ES-11/PV.17,AES11PV17,2023-02-22,2023,2,22,A,ES-11,,PV.17,,A_2023_ES-11_PV.17_,A_2023_ES-11_PV.17_speeches.pdf
4004141,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9260,SPV9260,2023-02-14,2023,2,14,S,,,PV.9260,,S_2023_PV.9260_,S_2023_PV.9260_speeches.pdf
4014856,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.58,A77PV58,2023-02-06,2023,2,6,A,,77,PV.58,,A_2023_77_PV.58_,A_2023_77_PV.58_speeches.pdf
4000346,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9241,SPV9241,2023-01-12,2023,1,12,S,,,PV.9241,,S_2023_PV.9241_,S_2023_PV.9241_speeches.pdf
3998272,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9220,SPV9220,2022-12-14,2022,12,14,S,,,PV.9220,,S_2022_PV.9220_,S_2022_PV.9220_speeches.pdf
4010110,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.48,A77PV48,2022-12-08,2022,12,8,A,,77,PV.48,,A_2022_77_PV.48_,A_2022_77_PV.48_speeches.pdf
3994059,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9181,SPV9181,2022-11-03,2022,11,3,S,,,PV.9181,,S_2022_PV.9181_,S_2022_PV.9181_speeches.pdf
4010820,"Guterres, António, 1949-",UN. Secretary-General,A/C.5/77/SR.5,AC577SR5,2022-10-12,2022,10,12,A,C.5,77,SR.5,,A_2022_C.5_77_SR.5_,A_2022_C.5_77_SR.5_speeches.pdf
3990796,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9149,SPV9149,2022-10-11,2022,10,11,S,,,PV.9149,,S_2022_PV.9149_,S_2022_PV.9149_speeches.pdf
4000839,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.15,A77PV15,2022-10-07,2022,10,7,A,,77,PV.15,,A_2022_77_PV.15_,A_2022_77_PV.15_speeches.pdf
3989479,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9135,SPV9135,2022-09-22,2022,9,22,S,,,PV.9135,,S_2022_PV.9135_,S_2022_PV.9135_speeches.pdf
3996891,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.4,A77PV4,2022-09-20,2022,9,20,A,,77,PV.4,,A_2022_77_PV.4_,A_2022_77_PV.4_speeches.pdf
3996566,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.2,A77PV2,2022-09-15,2022,9,15,A,,77,PV.2,,A_2022_77_PV.2_,A_2022_77_PV.2_speeches.pdf
3996446,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.1,A77PV1,2022-09-13,2022,9,13,A,,77,PV.1,,A_2022_77_PV.1_,A_2022_77_PV.1_speeches.pdf
3995875,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.103,A76PV103,2022-09-12,2022,9,12,A,,76,PV.103,,A_2022_76_PV.103_,A_2022_76_PV.103_speeches.pdf
3987115,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9124,SPV9124,2022-09-06,2022,9,6,S,,,PV.9124,,S_2022_PV.9124_,S_2022_PV.9124_speeches.pdf
3986259,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9115,SPV9115,2022-08-24,2022,8,24,S,,,PV.9115,,S_2022_PV.9115_,S_2022_PV.9115_speeches.pdf
3985974,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9112,SPV9112,2022-08-22,2022,8,22,S,,,PV.9112,,S_2022_PV.9112_,S_2022_PV.9112_speeches.pdf
